5.381	6.057	6.388	7.124	8.162	5.201	7.591	6.587	8.327	6.707	7.605	6.766	6.412	7.583	9.365	5.829	5.982	5.854	9.252	9.121
6.057	6.426	6.985	7.449	9.026	5.777	8.422	7.476	8.494	7.685	8.265	7.205	7.157	7.962	9.460	6.590	6.801	6.941	9.752	9.362
6.388	6.985	8.001	8.945	9.111	6.135	8.634	7.472	9.306	7.696	8.401	7.672	7.321	8.601	10.123	6.760	6.971	6.972	9.867	9.979
7.124	7.449	8.945	9.863	9.403	7.036	9.454	7.949	9.842	8.077	8.870	8.485	7.938	9.328	10.713	7.483	7.628	7.404	10.303	10.544
8.162	9.026	9.111	9.403	10.903	7.966	9.602	9.602	9.344	9.900	10.253	9.168	8.895	9.506	10.577	8.694	9.030	9.057	11.758	10.999
5.201	5.777	6.135	7.036	7.966	4.467	7.472	6.413	8.216	6.554	7.383	6.321	6.140	7.297	9.166	5.510	5.619	5.671	8.966	9.098
7.591	8.422	8.634	9.454	9.602	7.472	10.606	8.523	9.582	8.676	9.396	8.672	8.537	9.391	10.879	8.051	8.221	8.179	10.661	10.843
6.587	7.476	7.472	7.949	9.602	6.413	8.523	8.096	8.329	8.342	8.874	7.631	7.554	8.302	9.746	7.142	7.442	7.441	10.470	9.719
8.327	8.494	9.306	9.842	9.344	8.216	9.582	8.329	10.662	8.479	9.096	9.319	9.198	9.667	11.322	8.792	8.715	8.077	10.136	10.627
6.707	7.685	7.696	8.077	9.900	6.554	8.676	8.342	8.479	8.522	9.122	7.889	7.751	8.480	9.852	7.394	7.642	7.633	10.707	9.889
7.605	8.265	8.401	8.870	10.253	7.383	9.396	8.874	9.096	9.122	9.530	8.550	8.247	9.102	10.250	8.010	8.397	8.335	11.110	10.400
6.766	7.205	7.672	8.485	9.168	6.321	8.672	7.631	9.319	7.889	8.550	7.682	7.497	8.502	10.135	7.081	7.159	7.219	9.976	10.039
6.412	7.157	7.321	7.938	8.895	6.140	8.537	7.554	9.198	7.751	8.247	7.497	7.288	8.308	10.266	6.937	7.062	7.063	9.719	9.965
7.583	7.962	8.601	9.328	9.506	7.297	9.391	8.302	9.667	8.480	9.102	8.502	8.308	9.074	10.610	7.807	8.055	8.008	10.429	10.534
9.365	9.460	10.123	10.713	10.577	9.166	10.879	9.746	11.322	9.852	10.250	10.135	10.266	10.610	12.050	9.753	9.764	9.513	11.355	11.615
5.829	6.590	6.760	7.483	8.694	5.510	8.051	7.142	8.792	7.394	8.010	7.081	6.937	7.807	9.753	6.190	6.450	6.567	9.770	9.594
5.982	6.801	6.971	7.628	9.030	5.619	8.221	7.442	8.715	7.642	8.397	7.159	7.062	8.055	9.764	6.450	6.676	6.791	9.980	9.813
5.854	6.941	6.972	7.404	9.057	5.671	8.179	7.441	8.077	7.633	8.335	7.219	7.063	8.008	9.513	6.567	6.791	6.759	10.021	9.442
9.252	9.752	9.867	10.303	11.758	8.966	10.661	10.470	10.136	10.707	11.110	9.976	9.719	10.429	11.355	9.770	9.980	10.021	12.806	11.807
9.121	9.362	9.979	10.544	10.999	9.098	10.843	9.719	10.627	9.889	10.400	10.039	9.965	10.534	11.615	9.594	9.813	9.442	11.807	11.536
